url	Hãng	Năm sản xuất	Nhiên liệu	Kiểu dáng	Dòng xe	Số km đã đi	Hộp số	Xuất Xứ	Số chỗ
https://xe.chotot.com//[object Object]-quan-bac-tu-liem-ha-noi/87759336.htm	Toyota	2015	Xăng	Sedan	Camry	68000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87945750.htm	Mazda	2015	Xăng	Sedan	3	68126	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/85036596.htm	Mitsubishi	2019	Xăng	Minivan (MPV)	Xpander	40000	Số sàn	Nước khác	7
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/86943026.htm	Kia	2011	Xăng	Hatchback	Morning	90000	Tự động	Hàn Quốc	5
https://xe.chotot.com//[object Object]-thi-xa-kinh-mon-hai-duong/87960021.htm	Toyota	2007	Xăng	Sedan	Camry	110000	Tự động	Việt Nam	4
https://xe.chotot.com//[object Object]-quan-tay-ho-ha-noi/87579086.htm	Toyota	2013	Xăng	Minivan (MPV)	Innova	10000	Số sàn	Việt Nam	8
https://xe.chotot.com//[object Object]-huyen-bau-bang-binh-duong/87960010.htm	Toyota	2019	Dầu	SUV / Cross over	Fortuner	57000	Số sàn	Nước khác	7
https://xe.chotot.com//[object Object]-huyen-gia-binh-bac-ninh/87959997.htm	Hyundai	2014	Xăng	Hatchback	Grand i10	1111	Số sàn	Ấn Độ	5
https://xe.chotot.com//[object Object]-quan-bac-tu-liem-ha-noi/87509651.htm	Kia	2021	Dầu	SUV / Cross over	Sorento	8000	Tự động	Việt Nam	8
https://xe.chotot.com//[object Object]-quan-bac-tu-liem-ha-noi/87759667.htm	Toyota	2019	Xăng	Sedan	Camry	19000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87954724.htm	Hyundai	2018	NaN	Sedan	Accent	36238	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/87951780.htm	Mazda	2021	Xăng	SUV / Cross over	CX 5	13000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-7-tp-ho-chi-minh/83181436.htm	Mercedes Benz	2019	Xăng	SUV / Cross over	GLC	26000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thi-xa-kinh-mon-hai-duong/87959936.htm	Ford	2006	Xăng	SUV / Cross over	Escape	150000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-hai-duong-hai-duong/87957681.htm#px=SR-stickyad-[PO-1][PL-top]	Hyundai	2018	Xăng	Hatchback	Grand i10	60000	Số sàn	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-hai-duong-hai-duong/87959644.htm#px=SR-stickyad-[PO-2][PL-top]	Ford	2010	Xăng	SUV / Cross over	Escape	120000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-ninh-giang-hai-duong/87956162.htm#px=SR-stickyad-[PO-3][PL-top]	Hyundai	2010	Xăng	Sedan	Elantra	6886	Số sàn	Hàn Quốc	5
https://xe.chotot.com//[object Object]-quan-duong-kinh-hai-phong/87923353.htm#px=SR-stickyad-[PO-4][PL-top]	Mazda	2010	Xăng	Hatchback	MX 3	160000	Tự động	Nhật Bản	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87919917.htm#px=SR-stickyad-[PO-5][PL-top]	Mazda	2018	Xăng	Sedan	6	20000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thi-xa-kinh-mon-hai-duong/87959921.htm	Toyota	2008	Xăng	SUV / Cross over	Fortuner	15000	Tự động	Nước khác	7
https://xe.chotot.com//[object Object]-quan-bac-tu-liem-ha-noi/86771904.htm	Hyundai	2019	Xăng	Sedan	Elantra	30000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-lac-duong-lam-dong/87923296.htm	Isuzu	2019	NaN	NaN	Mu X	30000	Số sàn	NaN	NaN
https://xe.chotot.com//[object Object]-huyen-ia-grai-gia-lai/87724211.htm	Ford	2012	Dầu	SUV / Cross over	Everest	90000	Số sàn	Mỹ	7
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/87885716.htm	Kia	2019	Xăng	Minivan (MPV)	Rondo	23000	Số sàn	NaN	5
https://xe.chotot.com//[object Object]-quan-7-tp-ho-chi-minh/85607517.htm	Lexus	2020	Xăng	SUV / Cross over	RX	9000	Tự động	Nhật Bản	7
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87699003.htm	Mercedes Benz	2020	Xăng	SUV / Cross over	GLC	20000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-bac-tu-liem-ha-noi/86572573.htm	Hyundai	2018	Xăng	SUV / Cross over	Tucson	36000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87557103.htm	Mercedes Benz	2014	Xăng	Sedan	S Class	55000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-ba-dinh-ha-noi/87331364.htm	Toyota	2015	Xăng	Sedan	Vios	80000	Số sàn	Nhật Bản	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87879558.htm	Mazda	2018	Xăng	SUV / Cross over	CX 5	3000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-thi-xa-tan-uyen-binh-duong/87959828.htm	Ssangyong	2003	Xăng	NaN	Chairman	80000	Số sàn	Trung Quốc	2
https://xe.chotot.com//[object Object]-quan-8-tp-ho-chi-minh/85552058.htm	Toyota	2020	Dầu	SUV / Cross over	Fortuner	25000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/86455538.htm	Kia	2015	Xăng	Hatchback	Rio	50000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-7-tp-ho-chi-minh/87597107.htm	Mercedes Benz	2020	Xăng	SUV / Cross over	GLC	9000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-5-tp-ho-chi-minh/86240733.htm	Mercedes Benz	2017	Xăng	Sedan	E Class	42000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87959799.htm	Mazda	2017	Xăng	SUV / Cross over	CX 5	60000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87953500.htm	Audi	2009	Xăng	Sedan	A8	48000	Tự động	Đức	4
https://xe.chotot.com//[object Object]-thanh-pho-tam-ky-quang-nam/87959793.htm	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://xe.chotot.com//[object Object]-quan-bac-tu-liem-ha-noi/85591064.htm	Mazda	2017	Xăng	Sedan	3	45000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-bien-hoa-dong-nai/87360568.htm	Mercedes Benz	2000	NaN	NaN	ML Class	90000	Tự động	NaN	NaN
https://xe.chotot.com//[object Object]-quan-long-bien-ha-noi/87876288.htm	Mercedes Benz	2016	Xăng	Sedan	GLC	48000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/85219685.htm	Toyota	2017	Xăng	Minivan (MPV)	Innova	58000	Số sàn	Việt Nam	8
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87957144.htm	Mercedes Benz	2015	Xăng	Sedan	C Class	39000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-bien-hoa-dong-nai/85265217.htm	Chevrolet	2008	NaN	NaN	Cavalier	90000	Số sàn	NaN	NaN
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/82498727.htm	Ford	2019	Dầu	Kiểu dáng khác	Dòng khác	21000	Tự động	Thái Lan	5
https://xe.chotot.com//[object Object]-quan-hoang-mai-ha-noi/85238326.htm	Toyota	2009	Dầu	SUV / Cross over	Fortuner	152000	Số sàn	Việt Nam	7
https://xe.chotot.com//[object Object]-huyen-tan-phu-dong-nai/84049908.htm	Daewoo	2003	Xăng	Sedan	Nubira	200000	Số sàn	Hàn Quốc	5
https://xe.chotot.com//[object Object]-huyen-cu-chi-tp-ho-chi-minh/87753930.htm	Toyota	1987	Xăng	Sedan	Camry	254800	Số sàn	Nhật Bản	5
https://xe.chotot.com//[object Object]-huyen-chuong-my-ha-noi/87284440.htm	Mitsubishi	2018	Dầu	Pick-up (bán tải)	Triton	56896	Tự động	Thái Lan	5
https://xe.chotot.com//[object Object]-quan-hoang-mai-ha-noi/87959756.htm	Chevrolet	2014	Xăng	Hatchback	Spark	150000	Số sàn	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-8-tp-ho-chi-minh/87739899.htm	Mercedes Benz	2018	Xăng	Sedan	C Class	25000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-nam-dan-nghe-an/87936284.htm	Ford	2017	Dầu	Pick-up (bán tải)	Ranger	15	Tự động	Thái Lan	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87959730.htm	Hyundai	2020	Dầu	SUV / Cross over	Tucson	10000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87394550.htm	Volkswagen	2020	Xăng	SUV / Cross over	Tiguan	8000	Tự động	Đức	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/85593335.htm	Hyundai	2015	Dầu	SUV / Cross over	Creta	73000	Tự động	Hàn Quốc	5
https://xe.chotot.com//[object Object]-quan-binh-tan-tp-ho-chi-minh/87839032.htm	Mercedes Benz	2018	Xăng	Sedan	C Class	40000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thi-xa-kinh-mon-hai-duong/87959690.htm	Toyota	2008	Xăng	SUV / Cross over	Fortuner	11000	Tự động	Nước khác	7
https://xe.chotot.com//[object Object]-thanh-pho-hue-thua-thien-hue/87959683.htm	Hyundai	2013	Xăng	Sedan	Accent	200000	Tự động	Ấn Độ	5
https://xe.chotot.com//[object Object]-thi-xa-kinh-mon-hai-duong/87959650.htm	Honda	2008	Xăng	Sedan	Civic	13000	Tự động	Việt Nam	4
https://xe.chotot.com//[object Object]-thanh-pho-hai-duong-hai-duong/87959644.htm	Ford	2010	Xăng	SUV / Cross over	Escape	120000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-long-bien-ha-noi/85759812.htm	Hyundai	2018	Xăng	SUV / Cross over	Tucson	30000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87953443.htm	Ford	2018	Dầu	Pick-up (bán tải)	Ranger	50000	Tự động	Thái Lan	5
https://xe.chotot.com//[object Object]-quan-7-tp-ho-chi-minh/86212194.htm	Mercedes Benz	2020	Xăng	Sedan	C Class	5000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/85649236.htm	Toyota	2018	Xăng	Sedan	Vios	52000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-hoc-mon-tp-ho-chi-minh/87959591.htm	Mitsubishi	2019	Xăng	Sedan	Attrage	7500	Số sàn	Nhật Bản	5
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87192718.htm	Infiniti	2006	NaN	NaN	QX	79000	Tự động	NaN	NaN
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87931233.htm	Mercedes Benz	2006	Xăng	Sedan	S Class	79000	Tự động	Đức	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87608156.htm	Toyota	2016	Xăng	SUV / Cross over	Fortuner	92000	Tự động	Việt Nam	7
https://xe.chotot.com//[object Object]-thanh-pho-bao-loc-lam-dong/87959519.htm	Mazda	2015	Xăng	Sedan	3	60000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/86874481.htm	Mercedes Benz	2019	Xăng	Sedan	C Class	18000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/87563742.htm	Ford	2016	Dầu	Pick-up (bán tải)	Ranger	68000	Tự động	Thái Lan	5
https://xe.chotot.com//[object Object]-quan-long-bien-ha-noi/87483078.htm	BMW	2013	Xăng	Sedan	3 Series	70000	Số sàn	Đức	4
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87957723.htm	Ford	2016	Xăng	Hatchback	Focus	50000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87787414.htm	Hyundai	2020	Xăng	Sedan	Accent	18000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-hoang-mai-ha-noi/87908971.htm	Toyota	2009	Xăng	Hatchback	Yaris	80000	Tự động	Nhật Bản	5
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87767751.htm	BMW	2011	Xăng	Hatchback	5 Series	83000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87337830.htm	Cadillac	2018	Xăng	Sedan	CTS	18000	Tự động	Mỹ	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/86206967.htm	Toyota	2019	Xăng	Sedan	Vios	3000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thot-not-can-tho/87959471.htm	Ford	2019	Dầu	Van	Transit	42000	Số sàn	Việt Nam	16
https://xe.chotot.com//[object Object]-quan-ngo-quyen-hai-phong/87959469.htm	Mazda	2015	Dầu	Pick-up (bán tải)	BT 50	100000	Số sàn	NaN	5
https://xe.chotot.com//[object Object]-huyen-vinh-cuu-dong-nai/87959459.htm	Hyundai	2017	Xăng	Hatchback	Grand i10	70	Số sàn	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-8-tp-ho-chi-minh/70843820.htm	Mazda	2018	Xăng	Sedan	3	30333	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/86874720.htm	Mercedes Benz	2016	Xăng	Sedan	C Class	50000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/85152797.htm	Mazda	2019	Xăng	Pick-up (bán tải)	BT 50	42000	Tự động	Thái Lan	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87823831.htm	Hyundai	2018	Xăng	Sedan	Grand i10	60000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-hoang-mai-ha-noi/87696874.htm	Nissan	2020	Xăng	SUV / Cross over	Dòng khác	4000	Bán tự động	Thái Lan	7
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87706761.htm	BMW	2006	Xăng	Sedan	7 Series	87000	Tự động	Đức	4
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87706301.htm	Cadillac	2011	NaN	NaN	SRX	83000	Tự động	NaN	NaN
https://xe.chotot.com//[object Object]-huyen-ninh-giang-hai-duong/87959380.htm	Kia	2014	Xăng	Hatchback	Morning	140000	Số sàn	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-yen-phong-bac-ninh/87959366.htm	Toyota	2018	Xăng	Hatchback	Wigo	99999	Số sàn	Nước khác	5
https://xe.chotot.com//[object Object]-thi-xa-dien-ban-quang-nam/87959347.htm	Kia	2012	Xăng	Hatchback	Morning	2438	Số sàn	Nhật Bản	5
https://xe.chotot.com//[object Object]-quan-7-tp-ho-chi-minh/72616079.htm	Ford	2018	Dầu	SUV / Cross over	Everest	121668	Tự động	Thái Lan	7
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/86874887.htm	Mercedes Benz	2016	Xăng	Sedan	C Class	50000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87831622.htm	Kia	2020	Xăng	Sedan	Optima	18000	Tự động	Việt Nam	4
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/86568706.htm	Mazda	2017	Xăng	Hatchback	3	108000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87953035.htm	Mercedes Benz	2017	Xăng	SUV / Cross over	GLC	29000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-hoang-mai-ha-noi/87161754.htm	BMW	2010	Xăng	Sedan	3 Series	100000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87487429.htm	Mercedes Benz	2016	Xăng	Sedan	S Class	58000	Tự động	Đức	5
https://xe.chotot.com//[object Object]-quan-hoang-mai-ha-noi/87959303.htm	Toyota	2014	Xăng	Sedan	Corolla Altis	80000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87000963.htm	Mercedes Benz	2011	Xăng	Sedan	E Class	78000	Tự động	Đức	5
https://xe.chotot.com//[object Object]-thanh-pho-thai-binh-thai-binh/87952397.htm	Hyundai	2019	Xăng	Sedan	Accent	14000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thi-xa-dien-ban-quang-nam/87959268.htm	Toyota	2017	Xăng	Sedan	Vios	99999	Số sàn	Nhật Bản	5
https://xe.chotot.com//[object Object]-quan-10-tp-ho-chi-minh/73560808.htm	Toyota	2018	Xăng	Minivan (MPV)	Avanza	51668	Tự động	Việt Nam	7
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/86875458.htm	Mercedes Benz	2018	Xăng	Sedan	C Class	10000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-cai-rang-can-tho/87959237.htm	Chevrolet	2013	Xăng	Sedan	Cruze	180000	Số sàn	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87770730.htm	BMW	2005	Xăng	Sedan	Dòng khác	120000	Tự động	Đức	4
https://xe.chotot.com//[object Object]-quan-ha-dong-ha-noi/87959235.htm	Toyota	1997	Xăng	Sedan	Corolla	10000	Số sàn	Nhật Bản	5
https://xe.chotot.com//[object Object]-thanh-pho-bien-hoa-dong-nai/87959229.htm	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87406041.htm	Kia	2002	NaN	NaN	CD5	15000	Số sàn	NaN	NaN
https://xe.chotot.com//[object Object]-quan-2-tp-ho-chi-minh/87959215.htm	Hyundai	2020	Xăng	Sedan	Accent	9000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-thai-binh-thai-binh/87951489.htm	Hyundai	2015	Xăng	Sedan	Grand i10	80000	Bán tự động	Hàn Quốc	5
https://xe.chotot.com//[object Object]-thanh-pho-pleiku-gia-lai/87798312.htm	Kia	2009	Xăng	Sedan	Cerato Koup	71000	Tự động	Hàn Quốc	5
https://xe.chotot.com//[object Object]-quan-1-tp-ho-chi-minh/71681016.htm	Ford	2018	Dầu	Minivan (MPV)	Transit	95678	Số sàn	Việt Nam	16
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/87869567.htm	Hyundai	2016	Xăng	SUV / Cross over	Tucson	50000	Tự động	Hàn Quốc	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/86875987.htm	Mercedes Benz	2015	Xăng	Sedan	C Class	30000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-12-tp-ho-chi-minh/86104903.htm	Toyota	2003	NaN	NaN	Hiace	120000	Số sàn	NaN	NaN
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87760452.htm	Toyota	2008	Xăng	Hatchback	Yaris	90000	Tự động	Nhật Bản	5
https://xe.chotot.com//[object Object]-quan-long-bien-ha-noi/87480520.htm	BMW	2019	Xăng	SUV / Cross over	X3	9000	Tự động	Mỹ	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/87363908.htm	Mazda	2015	Xăng	Sedan	3	80000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thi-xa-go-cong-tien-giang/87959068.htm	Suzuki	2007	Xăng	Sedan	Wagon R+	144000	Số sàn	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-da-lat-lam-dong/87959069.htm	Hyundai	2015	Xăng	SUV / Cross over	i20	66000	Tự động	Ấn Độ	5
https://xe.chotot.com//[object Object]-thanh-pho-thu-dau-mot-binh-duong/87959066.htm	Chevrolet	2018	Xăng	Sedan	Aveo	65000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-hai-duong-hai-duong/87959061.htm	Mercedes Benz	2008	NaN	Sedan	C Class	130000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-4-tp-ho-chi-minh/83742826.htm	BMW	2010	Xăng	SUV / Cross over	X6	104000	Tự động	Đức	4
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/87834761.htm	Mercedes Benz	2007	NaN	NaN	E Class	90000	Tự động	NaN	NaN
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/87399590.htm	Mercedes Benz	2017	Xăng	Sedan	E Class	60000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/87952790.htm	Kia	2019	Xăng	Hatchback	Morning	11000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/87529379.htm	Mazda	2016	Xăng	Sedan	2	70000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-pleiku-gia-lai/87959005.htm	Daewoo	2021	Xăng	Sedan	Nubira	14568	Số sàn	Hàn Quốc	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/85344863.htm	Mercedes Benz	2016	Xăng	Sedan	C Class	75000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/86339173.htm	Vinfast	2019	Xăng	Sedan	Fadil	20000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-ha-dong-ha-noi/87958965.htm	Honda	2009	Xăng	SUV / Cross over	CR V	100000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/87755231.htm	Kia	2015	NaN	NaN	Morning	52000	Tự động	NaN	NaN
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87795712.htm	BMW	2012	Xăng	Sedan	3 Series	80000	Tự động	Đức	5
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/87958953.htm	Toyota	2018	Dầu	SUV / Cross over	Fortuner	93000	Số sàn	Nước khác	7
https://xe.chotot.com//[object Object]-thanh-pho-bien-hoa-dong-nai/87958942.htm	Ford	2016	Xăng	SUV / Cross over	EcoSport	88665	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-thanh-xuan-ha-noi/87669035.htm	Kia	2016	Xăng	Hatchback	Rio	70000	Tự động	Hàn Quốc	5
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/86985810.htm	Mercedes Benz	2011	Xăng	Sedan	E Class	120000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-huyen-binh-chanh-tp-ho-chi-minh/87345215.htm	Hãng khác	2010	Dầu	Van	Dòng khác	70000	Số sàn	Thái Lan	2
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/87918703.htm	Mazda	2016	Xăng	Sedan	6	90000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-11-tp-ho-chi-minh/87679525.htm	Mitsubishi	2021	Xăng	Minivan (MPV)	Xpander	2800	Tự động	Nước khác	7
https://xe.chotot.com//[object Object]-quan-11-tp-ho-chi-minh/87680145.htm	Mercedes Benz	2021	Xăng	Sedan	C Class	5000	Tự động	Đức	5
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/86297955.htm	Mazda	2020	Xăng	SUV / Cross over	CX 8	29000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-nam-tu-liem-ha-noi/87796764.htm	Audi	2016	Xăng	SUV / Cross over	Q3	40000	Tự động	Nước khác	8
https://xe.chotot.com//[object Object]-huyen-thanh-tri-ha-noi/87527401.htm	Toyota	2008	Xăng	Minivan (MPV)	Innova	90000	Số sàn	Việt Nam	8
https://xe.chotot.com//[object Object]-quan-cau-giay-ha-noi/86891329.htm	Mercedes Benz	2017	Xăng	Sedan	C Class	40000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-dong-da-ha-noi/87127837.htm	Kia	2021	Xăng	Hatchback	Morning	2500	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-quan-bac-tu-liem-ha-noi/84646311.htm	Mazda	2018	Xăng	Sedan	3	40000	Tự động	Việt Nam	5
https://xe.chotot.com//[object Object]-thanh-pho-ha-tinh-ha-tinh/87958789.htm	Mazda	2016	Xăng	Sedan	3	50000	Tự động	NaN	5
https://xe.chotot.com//[object Object]-quan-hoang-mai-ha-noi/84982206.htm	Kia	2010	Xăng	Hatchback	Morning	120000	Số sàn	Hàn Quốc	5
https://xe.chotot.com//[object Object]-thanh-pho-thai-nguyen-thai-nguyen/87958773.htm	Hãng khác	2016	Xăng	NaN	Dòng khác	100000	Số sàn	Việt Nam	NaN
https://xe.chotot.com//[object Object]-quan-thu-duc-tp-ho-chi-minh/87336270.htm	Chevrolet	2009	Xăng	SUV / Cross over	Captiva	70000	Tự động	NaN	7
https://xe.chotot.com//[object Object]-huyen-thanh-tri-ha-noi/87610182.htm	Hyundai	2015	Xăng	SUV / Cross over	i20	38000	Tự động	Ấn Độ	5
